Crop,District,Year,Min_Temp,Max_Temp,crop_bengal_gram,crop_groundnut,crop_maize,Total_Rainfall,Acre,Total_Yield
maize,JAGTIAL,2017,13.49,42.14,0,0,1,540.5316667,2,4474
maize,JANGAON,2017,14.92,40.56,0,0,1,597.5669231,2,5068
maize,JAYASHANKAR,2017,13.76,42.04,0,0,1,815.85,3,9023
maize,JOGULAMBA,2017,16.42,40.7,0,0,1,525.2658333,2,5263
maize,KAMAREDDY,2017,13.21,40.59,0,0,1,757.7286364,3,5300
maize,KARIMNAGAR,2017,14.33,41.97,0,0,1,585.4225,3,6026
maize,KHAMMAM,2017,16.93,41.13,0,0,1,789.8538095,4,6397
maize,KOMARAM BHEEM,2017,12.73,41.52,0,0,1,654.488,2,4558
maize,MAHABUBABAD,2017,14.93,41.27,0,0,1,805.589375,2,5717
maize,MAHABUBNAGAR,2017,14.97,40.5,0,0,1,569.9465385,1,1474
maize,MANCHERIAL,2017,13.61,42.67,0,0,1,628.4933333,2,3965
maize,MEDAK,2017,13.78,40.25,0,0,1,563.8815,2,3929
maize,MEDCHAL MALKAJG,2017,15.64,40.28,0,0,1,804.51,2,3815
maize,NAGARKURNOOL,2017,15.29,39.95,0,0,1,422.9185,1,2052
maize,NALGONDA,2017,16.6,41.07,0,0,1,534.0377419,2,4755
maize,NIRMAL,2017,13.25,41.49,0,0,1,691.0947368,2.5,7753
maize,NIZAMABAD,2017,14.04,41.19,0,0,1,617.5703704,2,5464
maize,PEDDAPALLI,2017,13.76,42.17,0,0,1,549.5485714,5,8924
maize,RAJANNA,2017,12.78,41.48,0,0,1,526.4469231,2,3122
maize,RANGAREDDY,2017,14.6,39.61,0,0,1,578.7140741,2,2238
maize,SANGAREDDY,2017,13.57,39.79,0,0,1,661.6261538,2,3610
maize,SIDDIPET,2017,13.76,40.15,0,0,1,593.945,1,3304
maize,SURYAPET,2017,16.75,41.01,0,0,1,601.9147826,3,6339
maize,VIKARABAD,2017,14.1,40.01,0,0,1,521.8055556,2,3249
maize,WANAPARTHY,2017,16.49,40.71,0,0,1,504.1507143,3,3199
maize,WARANGAL RURAL,2017,14.67,41.3,0,0,1,834.2066667,2,7716
maize,WARANGAL URBAN,2017,14.9,41.37,0,0,1,674.2163636,4,6851
maize,YADADRI,2017,15.15,40.63,0,0,1,553.403125,1,3068
maize,ADILABAD,2018,12.46,41.66,0,0,1,884.2918056,2,4790
maize,BHADRADRI,2018,15.98,41.41,0,0,1,976.2786957,3,3983
maize,HYDERABAD,2018,17.75,39.8,0,0,1,635.1501563,2.7,4440
maize,JAGTIAL,2018,13.81,42.12,0,0,1,695.97875,4,5860
maize,JANGAON,2018,15.21,40.52,0,0,1,682.6244231,3,5611
maize,JAYASHANKAR,2018,13.75,42.09,0,0,1,973.075,4,7179
maize,JOGULAMBA,2018,16.6,40.57,0,0,1,453.645625,2,2785
maize,KAMAREDDY,2018,13.47,40.66,0,0,1,686.9798864,3,5909
maize,KARIMNAGAR,2018,14.29,41.84,0,0,1,646.7978125,4,6208
maize,KHAMMAM,2018,17.28,41.22,0,0,1,714.6277381,3,5892
maize,KOMARAM BHEEM,2018,12.41,41.67,0,0,1,857.882,2,5053
maize,MAHABUBABAD,2018,15.28,41.49,0,0,1,807.1160938,2,4246
maize,MAHABUBNAGAR,2018,15.48,40.06,0,0,1,474.7356731,1,1206
maize,MANCHERIAL,2018,13.37,42.55,0,0,1,831.5677778,2,4954
maize,MEDAK,2018,14.14,40.07,0,0,1,616.112875,1,2995
maize,MEDCHAL MALKAJG,2018,15.58,39.91,0,0,1,632.5989286,1,2886
maize,NAGARKURNOOL,2018,15.58,39.9,0,0,1,429.269625,0.3,667
maize,NALGONDA,2018,17.15,41.18,0,0,1,546.1699194,2,4900
maize,NIRMAL,2018,13.33,41.83,0,0,1,803.0723684,3,7544
maize,NIZAMABAD,2018,14.22,41.39,0,0,1,703.7388889,2,5716
maize,PEDDAPALLI,2018,14.06,42.38,0,0,1,714.3871429,4,6612
maize,RAJANNA,2018,12.84,41.38,0,0,1,635.6290385,2,5608
maize,RANGAREDDY,2018,14.66,39.1,0,0,1,491.5461111,0.5,762
maize,SANGAREDDY,2018,13.67,39.63,0,0,1,612.2584615,1,3130
maize,SIDDIPET,2018,13.8,39.92,0,0,1,597.5453409,2,2776
maize,SURYAPET,2018,17.51,41.36,0,0,1,585.3026087,2,5824
maize,VIKARABAD,2018,14.49,39.32,0,0,1,609.0333333,3,3295
maize,WANAPARTHY,2018,16.89,40.41,0,0,1,488.7001786,2,2958
maize,WARANGAL RURAL,2018,14.71,41.22,0,0,1,851.1166667,3,7568
maize,WARANGAL URBAN,2018,15.09,41.29,0,0,1,808.2336364,3,5438
maize,YADADRI,2018,15.31,40.33,0,0,1,513.0085938,1,2178
